crash_id,intersection_id,int_num,direction,distance,latitude,longitude
565015,6732,12616,East,75,37.3050294674482,-121.845787003474
565013,9192,114751,West,200,37.3827792368063,-121.896547139335
565009,7493,32922,At,0,37.3238551989685,-121.808440576949
565007,,12110,East,,,
565006,4164,102651,At,0,37.3286853376701,-121.91177666223
565004,3065,78968,At,0,37.3607900387625,-121.906783938781
565005,,125465,At,0,,
565028,5362,58167,At,0,37.3258785648669,-121.846965710098
565033,5179,17951,East,102,37.2461625289323,-121.80516841252
565008,3490,84138,North,216,37.300536060775,-121.894157999051
565075,523,20338,At,0,37.2503584000824,-121.858876484391
565049,1390,73028,At,0,37.2655277326521,-121.91243916626
565061,,62853,South,,,
565071,9199,66197,South,30,37.3718512009787,-121.893615036759
565073,7414,32779,North,220,37.3383331121168,-121.817836477682
565076,,89473,West,,,
565047,6862,118030,West,50,37.3330005065444,-121.809950078851
565077,8361,76230,At,0,37.3469860262431,-121.832647249623
565082,,116654,East,,,
565079,1824,87955,East,21,37.3309052006818,-121.888328326748
565114,,110813,South,305,,
565095,10129,100760,North,150,37.4001747472328,-121.84711692144
565096,11889,14002,North,30,37.3253763562931,-121.931964119677
565140,,21450,West,,,
565106,4260,115477,At,0,37.3503042859705,-121.860817839522
565118,1390,73028,East,300,37.2655277326521,-121.91243916626
565093,3463,79606,At,0,37.3563952699367,-121.859132979184
565111,745,41580,At,0,37.2429954886027,-121.868973032457
565121,7257,6192,North,15,37.3658641115857,-121.828053713356
565122,3831,88351,South,350,37.3222934892401,-121.878801709677
565117,9583,67561,West,57,37.3868722940698,-121.831531537611
565101,8623,116324,At,0,37.2388265489718,-121.774385084523
565119,9492,36376,West,68,37.3739704615057,-121.837307324031
565149,2815,144184,At,0,37.2927288453587,-121.85051938769
565151,1641,102640,East,105,37.3235079226357,-121.911046751268
565145,7956,32416,At,0,37.3966807050793,-121.871760688498
565152,3245,52029,West,50,37.3216020128301,-121.913910389508
565159,11203,49741,At,0,37.3014689710245,-121.93037264825
565153,7465,33032,East,217,37.3316344691177,-121.812186858086
565173,10874,114070,North,360,37.400161674136,-121.902770031716
565174,2449,125322,West,20,37.2513869098533,-121.909510139849
565179,7551,65614,East,15,37.3410873681196,-121.833868428396
565175,8419,70927,East,8,37.3310531295485,-121.834457214896
565189,6982,32999,East,70,37.3509596112044,-121.826824807776
565187,9206,25850,At,0,37.3822015559663,-121.905367622872
565185,397,136498,South,98,37.2836887483501,-121.864928777211
565193,7493,32922,At,0,37.3238551989685,-121.808440576949
565198,8789,1760,North,202,37.3294191265671,-121.782212435677
560430,6739,83401,West,60,37.2976055313984,-121.837781155296
560443,653,54207,North,198,37.2732658435957,-121.869480355011
560438,4046,79144,East,92,37.3253787748804,-121.866448553935
560453,11422,13727,At,0,37.2661561130618,-121.941017846619
560451,4538,16543,North,255,37.2600126247766,-121.801977323509
560444,8368,79640,West,182,37.3220559254281,-121.826378061599
560445,4184,83291,North,15,37.3118155113942,-121.863135376869
560450,2388,18545,South,201,37.3134417228546,-121.897997258276
560462,12149,13859,North,299,37.2943332686641,-121.931673769633
560463,2477,120548,At,0,37.3083906502392,-121.865936301179
560469,11396,52470,East,60,37.2984143412951,-121.949714749461
560478,8213,25431,North,20,37.3472421712565,-121.82425479594
560479,5745,1320,South,33,37.3131995263197,-121.796122425567
560475,2482,13310,South,209,37.3104340302857,-121.867972188211
560497,12331,55263,At,0,37.2944671578422,-121.992410715732
564967,4789,138368,South,800,37.2436979604627,-121.801010772687
565020,7523,83380,At,0,37.2904318782524,-121.848150739876
565035,3565,66219,North,70,37.3597461973445,-121.914275815794
565031,4341,113904,At,0,37.2495339929121,-121.803993351638
564998,,31250,West,,,
565043,4140,113189,East,145,37.3185845735706,-121.882799853038
565018,8418,70960,East,72,37.330676922094,-121.835052163587
565016,8108,143928,North,215,37.3579322392599,-121.827713719112
565038,7994,78253,North,126,37.3505816954061,-121.845254434914
565039,5523,64415,East,300,37.3155178252538,-121.845276521984
565025,10940,93136,At,0,37.3159862205607,-121.963987809426
565024,6057,111000,At,0,37.3561417375772,-121.819146783396
565019,6144,10890,South,15,37.2556184007749,-121.835908552075
565052,1450,111671,At,0,37.3053856036793,-121.851425814961
565060,6817,32890,At,0,37.3407376812348,-121.820053769207
565067,8488,5675,At,0,37.333420079085,-121.799864575105
565068,8164,122066,At,0,37.3161911568609,-121.807951084836
565055,1715,63931,At,0,37.3106997205755,-121.921215507006
565056,1464,106028,At,0,37.3447240396154,-121.863501298304
565064,11745,92025,At,0,37.3155003010608,-121.989812329973
565048,648,47464,West,90,37.2845732124238,-121.902477650039
565084,,20459,West,,,
565081,508,4575,At,0,37.2508167466799,-121.875315258691
565097,3986,104389,West,205,37.3284552312623,-121.859988886781
565129,1484,99186,At,0,37.3067472237297,-121.852873064951
565130,,137972,North,1429,,
565066,4261,107865,West,18,37.3196780419447,-121.917215463644
565074,6939,57331,West,55,37.3052831752403,-121.824845800145
565058,,123672,North,,,
565059,2233,63920,East,100,37.3107000936048,-121.922935784755
565072,1838,144066,At,0,37.2865688896051,-121.86290050711
565053,4771,97173,At,0,37.3669712396833,-121.900316685992
565046,1554,111540,West,50,37.353547266738,-121.890809068662
565065,7306,1980,West,20,37.3371555310644,-121.825686298628
565086,,76230,North,,,
