street_id,crash_id
24321,570226
24734,558264
24734,550344
24734,564546
24734,570643
24734,570226
24898,558264
24898,556353
24898,550344
24898,551508
24898,552201
24898,560784
24898,563566
24898,572016
24898,570643
24898,570226
25850,558264
25850,556602
25850,550344
25850,570643
25850,570226
29064,558271
29064,558936
29064,553305
29064,551985
29293,558271
29293,553305
29418,558271
29418,553305
29665,558271
29665,553305
33821,558208
33821,556810
33821,565840
33821,568050
33821,567157
33821,574490
34314,558208
34314,565840
34314,574490
34315,558208
34315,555241
34315,547413
34315,546727
34315,561822
34315,565840
34315,574490
34519,558208
34519,555262
34519,555400
34519,558170
34519,546149
34519,548865
34519,551654
34519,562833
34519,563899
34519,565840
34519,567376
34519,570979
34519,569219
34519,574490
30672,558224
30672,545904
30672,554257
30672,552047
30672,559471
30672,562643
30672,562795
30672,566504
31470,558224
31470,565188
31470,545904
31470,554257
31470,559471
31470,562643
31470,566504
31852,558224
31852,545904
31852,553900
31852,554257
31852,559471
31852,562643
31852,566504
15988,558201
15988,549367
15988,558779
15988,555596
15988,558433
15988,556235
15988,545385
15988,551177
15988,548345
15988,551137
15988,551066
15988,546230
15988,551582
15988,549360
15988,550020
15988,552449
15988,560307
15988,561945
15988,562211
15988,562610
15988,563835
15988,563854
15988,564038
15988,566207
15988,568117
15988,569279
15988,570416
15988,567041
15988,567234
15988,569468
15988,569687
15988,570164
15988,568006
27424,558218
27424,565068
27424,555354
27424,555649
27424,555643
27424,556534
27424,550323
27424,545495
27424,547770
27424,548251
27424,551240
27424,548759
27424,547054
27424,559409
27424,559758
27424,563720
27424,566165
27424,572070
27424,572019
27424,568681
27424,569563
22339,558238
22339,558758
22339,553176
22339,551957
22339,563674
22339,566021
22339,568595
23321,558238
23321,558758
23321,551957
23328,558238
23328,558758
23328,547955
23328,551957
23328,574360
23913,558254
23913,556176
23913,569183
23913,568351
23913,569758
23913,571538
29479,558198
29479,560446
29479,556486
29479,557908
29479,550213
29479,545261
29479,545817
29479,551486
29479,551708
29479,553950
29479,554182
29479,552337
29479,552711
29479,559214
29479,562158
29479,563735
29479,573407
29479,569418
29479,568918
29479,571688
29479,574389
34212,558214
34212,553255
34212,557947
34212,547786
34212,545875
34212,553004
34212,551591
34212,549791
34212,559809
34212,561844
34212,563523
34212,564070
34212,566181
34212,573672
34213,558214
34213,553255
34213,546194
34213,548660
34213,551591
34213,546625
34213,549968
34213,563523
34213,564070
34213,565910
34213,566181
34213,568306
34213,567057
34213,573672
34895,558214
34895,553255
34895,550634
34895,546424
34895,551591
34895,549438
34895,559411
34895,559620
34895,563523
34895,564070
34895,564185
34895,566181
34895,568301
34895,567361
34895,570877
34895,572199
34895,571151
34895,569924
34895,573672
34896,558214
34896,553255
34896,547471
34896,550525
34896,546202
34896,553197
34896,551591
34896,551593
34896,560385
34896,562146
34896,563523
34896,564070
34896,564462
34896,564861
34896,566181
34896,573672
28323,558230
28323,560631
28323,558337
28323,558641
28323,555489
28323,555986
28323,555915
28323,557953
28323,547210
28323,547208
28323,545444
28323,547674
28323,548051
28323,553146
28323,551298
28323,548805
28323,553340
28323,553434
28323,549099
28323,549004
28323,546799
28323,551993
28323,555043
28323,549908
28323,549971
28323,550136
28323,552424
28323,554820
28323,559958
28323,561786
28323,561798
28323,562997
28323,563216
28323,563623
28323,563197
28323,564679
28323,564242
28323,565611
28323,565709
28323,565897
28323,566370
28323,568226
28323,573500
28323,567287
28323,568479
28323,569056
28323,569080
28323,568607
28323,569614
28323,570224
28323,567824
28323,575057
28323,573980
18611,558230
18611,560682
18611,555489
18611,555986
18611,547210
18611,547208
18611,545257
18611,545444
18611,548051
18611,548223
18611,552955
18611,552917
18611,553434
18611,553682
18611,549458
18611,549493
18611,549653
18611,551993
18611,550008
18611,552203
18611,554332
18611,555043
18611,549908
18611,554165
18611,549971
18611,550136
18611,550170
18611,552424
18611,554820
18611,558995
18611,560309
18611,561018
18611,561798
18611,563169
18611,563216
18611,564432
18611,564679
18611,564242
18611,565553
18611,565709
18611,567577
18611,568226
18611,566454
18611,573500
18611,569056
18611,569080
18611,569216
18611,566801
18611,568607
18611,569614
18611,570224
18611,575057
18611,573980
18655,558230
18655,565120
18655,555489
18655,556015
18655,555986
18655,556080
18655,556287
18655,547210
18655,547208
18655,545444
18655,550555
18655,548051
18655,553434
18655,551801
18655,549620
18655,551993
18655,555043
18655,555154
18655,549908
18655,549971
18655,550136
18655,552424
18655,552556
18655,554820
18655,554816
18655,561008
18655,561798
18655,563216
18655,564679
18655,564709
18655,564242
18655,565796
18655,565709
18655,565832
18655,568226
18655,573500
18655,568365
18655,569056
18655,569080
18655,568607
18655,569614
18655,570224
18655,568100
18655,568862
18655,574183
18655,575057
18655,573980
20177,558230
20177,555489
20177,555564
20177,555843
20177,555986
20177,547210
20177,547208
20177,545444
20177,547720
20177,550618
20177,545794
20177,548051
20177,553017
20177,548700
20177,553434
20177,551882
20177,553776
20177,551993
20177,552173
20177,554350
20177,555043
20177,549794
20177,549908
20177,552193
20177,555125
20177,549971
20177,550136
20177,552424
20177,554820
20177,559499
20177,559611
20177,560382
20177,561077
20177,561783
20177,561798
20177,562808
20177,563017
20177,563216
20177,563120
20177,564533
20177,564679
20177,564242
20177,565411
20177,565786
20177,565709
20177,568226
